Character        Frequency                   Codeword
''               0.0071%                01011001110
'\n'               0.3913%                10011
' '               2.0845%                110
"'"               0.1352%                1110111
')'               0.0213%                010110010
'('               0.0213%                010110001
','               0.0142%                1010110000
'A'               0.0142%                1010110001
'D'               0.0071%                01011001111
'G'               0.0285%                101011001
'I'               0.064%                10101101
'O'               0.0071%                0101100110
'N'               0.2561%                101111
'W'               0.0356%                111011001
'Y'               0.0285%                111011000
'a'               0.7399%                1000
'c'               0.0783%                0011111
'b'               0.0996%                0101101
'e'               1.3375%                011
'd'               0.3344%                01010
'g'               0.5122%                11100
'f'               0.064%                11101101
'i'               0.2561%                111010
'h'               0.2134%                101010
'k'               0.1209%                1010111
'j'               0.0142%                010110000
'm'               0.1423%                001110
'l'               0.2846%                00110
'o'               1.0814%                1111
'n'               1.1241%                000
'p'               0.0711%                0011110
's'               0.249%                101110
'r'               0.6261%                0100
'u'               0.5549%                0010
't'               0.4767%                10110
'w'               0.185%                010111
'v'               0.3771%                10010
'y'               0.4482%                10100
Average Codeword Length:4.3199
Original Size (bits):14056
Encoding Size (bits):7590
Compression Ratio:53.9983%
